DEBUG:root:Loaded 10000 invoices from ../data/invoices.csv
DEBUG:root:Filtered 10000 invoices without POs
DEBUG:root:Loaded 7 purchase orders from ../data/pos.csv
DEBUG:root:Loaded 10000 invoices from ../data/invoices.csv
DEBUG:root:Loaded 7 purchase orders from ../data/pos.csv
DEBUG:root:No matching PO found for invoice 14/05/1999
DEBUG:root:No matching PO found for invoice 07/04/1996
DEBUG:root:No matching PO found for invoice 27/06/1999
DEBUG:root:No matching PO found for invoice 08/04/1989
DEBUG:root:No matching PO found for invoice 04/05/2005
DEBUG:root:No matching PO found for invoice 23/03/1971
DEBUG:root:No matching PO found for invoice 03/11/2021
DEBUG:root:No matching PO found for invoice 08/06/1992
DEBUG:root:No matching PO found for invoice 19/02/2005
DEBUG:root:No matching PO found for invoice 12/01/2018
DEBUG:root:No matching PO found for invoice 12/05/2013
DEBUG:root:No matching PO found for invoice 13/03/1992
DEBUG:root:No matching PO found for invoice 26/02/2005
DEBUG:root:No matching PO found for invoice 21/10/1992
DEBUG:root:No matching PO found for invoice 24/07/2012
DEBUG:root:No matching PO found for invoice 17/09/1995
DEBUG:root:No matching PO found for invoice 31/03/2007
DEBUG:root:No matching PO found for invoice 06/07/1994
DEBUG:root:No matching PO found for invoice 26/12/2004
DEBUG:root:No matching PO found for invoice 07/10/2018
DEBUG:root:No matching PO found for invoice 25/03/1998
DEBUG:root:No matching PO found for invoice 28/10/2004
DEBUG:root:No matching PO found for invoice 06/11/1980
DEBUG:root:No matching PO found for invoice 14/06/2011
DEBUG:root:No matching PO found for invoice 25/10/1989
DEBUG:root:No matching PO found for invoice 28/11/1994
DEBUG:root:No matching PO found for invoice 29/08/1987
DEBUG:root:No matching PO found for invoice 02/11/1970
DEBUG:root:No matching PO found for invoice 31/08/1974
DEBUG:root:No matching PO found for invoice 19/12/2011
DEBUG:root:No matching PO found for invoice 29/06/1989
DEBUG:root:No matching PO found for invoice 08/11/1979
DEBUG:root:No matching PO found for invoice 19/09/2008
DEBUG:root:No matching PO found for invoice 13/12/1973
DEBUG:root:No matching PO found for invoice 29/10/2010
DEBUG:root:No matching PO found for invoice 26/12/2011
DEBUG:root:No matching PO found for invoice 18/06/1994
DEBUG:root:No matching PO found for invoice 14/12/1994
DEBUG:root:No matching PO found for invoice 22/06/1982
DEBUG:root:No matching PO found for invoice 09/08/2001
DEBUG:root:No matching PO found for invoice 03/07/2021
DEBUG:root:No matching PO found for invoice 21/05/1973
DEBUG:root:No matching PO found for invoice 22/08/1990
DEBUG:root:No matching PO found for invoice 09/05/1996
DEBUG:root:No matching PO found for invoice 25/09/1975
DEBUG:root:No matching PO found for invoice 09/11/1976
DEBUG:root:No matching PO found for invoice 11/04/1980
DEBUG:root:No matching PO found for invoice 18/01/1987
DEBUG:root:No matching PO found for invoice 14/06/1973
DEBUG:root:No matching PO found for invoice 15/05/2011
DEBUG:root:No matching PO found for invoice 07/02/1973
DEBUG:root:No matching PO found for invoice 24/11/1984
DEBUG:root:No matching PO found for invoice 12/02/2020
DEBUG:root:No matching PO found for invoice 24/11/2013
DEBUG:root:No matching PO found for invoice 18/05/1993
DEBUG:root:No matching PO found for invoice 25/07/1998
DEBUG:root:No matching PO found for invoice 18/11/1985
DEBUG:root:No matching PO found for invoice 18/01/1975
DEBUG:root:No matching PO found for invoice 25/09/1978
DEBUG:root:No matching PO found for invoice 15/12/1994
DEBUG:root:No matching PO found for invoice 02/01/1984
DEBUG:root:No matching PO found for invoice 13/06/1991
DEBUG:root:No matching PO found for invoice 11/07/1987
DEBUG:root:No matching PO found for invoice 10/03/1980
DEBUG:root:No matching PO found for invoice 04/10/2000
DEBUG:root:No matching PO found for invoice 26/11/1989
DEBUG:root:No matching PO found for invoice 20/03/1985
DEBUG:root:No matching PO found for invoice 11/12/1974
DEBUG:root:No matching PO found for invoice 13/11/2016
DEBUG:root:No matching PO found for invoice 31/08/2008
DEBUG:root:No matching PO found for invoice 09/04/1991
DEBUG:root:No matching PO found for invoice 30/09/1987
DEBUG:root:No matching PO found for invoice 22/08/1981
DEBUG:root:No matching PO found for invoice 18/10/1989
DEBUG:root:No matching PO found for invoice 16/01/2018
DEBUG:root:No matching PO found for invoice 19/04/1980
DEBUG:root:No matching PO found for invoice 23/08/2015
DEBUG:root:No matching PO found for invoice 07/07/2008
DEBUG:root:No matching PO found for invoice 24/03/2007
DEBUG:root:No matching PO found for invoice 28/07/2005
DEBUG:root:No matching PO found for invoice 10/10/1986
DEBUG:root:No matching PO found for invoice 02/09/2021
DEBUG:root:No matching PO found for invoice 11/08/2016
DEBUG:root:No matching PO found for invoice 19/04/2005
DEBUG:root:No matching PO found for invoice 19/10/1999
DEBUG:root:No matching PO found for invoice 16/07/1977
DEBUG:root:No matching PO found for invoice 09/05/2021
DEBUG:root:No matching PO found for invoice 07/09/1988
DEBUG:root:No matching PO found for invoice 25/09/1978
DEBUG:root:No matching PO found for invoice 22/01/1999
DEBUG:root:No matching PO found for invoice 13/01/1984
DEBUG:root:No matching PO found for invoice 26/02/2001
DEBUG:root:No matching PO found for invoice 19/03/1970
DEBUG:root:No matching PO found for invoice 29/09/2009
DEBUG:root:No matching PO found for invoice 30/08/2000
DEBUG:root:No matching PO found for invoice 24/11/1972
DEBUG:root:No matching PO found for invoice 18/11/1972
DEBUG:root:No matching PO found for invoice 09/08/1988
DEBUG:root:No matching PO found for invoice 17/01/2007
DEBUG:root:No matching PO found for invoice 13/06/2000
DEBUG:root:No matching PO found for invoice 01/04/1993
DEBUG:root:No matching PO found for invoice 13/03/2008
DEBUG:root:No matching PO found for invoice 24/04/2015
DEBUG:root:No matching PO found for invoice 08/04/2000
DEBUG:root:No matching PO found for invoice 19/01/1998
DEBUG:root:No matching PO found for invoice 03/03/1997
DEBUG:root:No matching PO found for invoice 26/07/1975
DEBUG:root:No matching PO found for invoice 05/09/2007
DEBUG:root:No matching PO found for invoice 13/12/1984
DEBUG:root:No matching PO found for invoice 09/01/1991
DEBUG:root:No matching PO found for invoice 15/07/1970
DEBUG:root:No matching PO found for invoice 06/06/2015
DEBUG:root:No matching PO found for invoice 29/06/1993
DEBUG:root:No matching PO found for invoice 09/06/1989
DEBUG:root:No matching PO found for invoice 12/08/2017
DEBUG:root:No matching PO found for invoice 11/02/2010
DEBUG:root:No matching PO found for invoice 07/03/1977
DEBUG:root:No matching PO found for invoice 05/04/2003
DEBUG:root:No matching PO found for invoice 17/04/2008
DEBUG:root:No matching PO found for invoice 06/05/1983
DEBUG:root:No matching PO found for invoice 09/05/1971
DEBUG:root:No matching PO found for invoice 22/04/1998
DEBUG:root:No matching PO found for invoice 24/12/2015
DEBUG:root:No matching PO found for invoice 19/12/1971
DEBUG:root:No matching PO found for invoice 04/09/2019
DEBUG:root:No matching PO found for invoice 26/05/2008
DEBUG:root:No matching PO found for invoice 08/11/1983
DEBUG:root:No matching PO found for invoice 15/01/1997
DEBUG:root:No matching PO found for invoice 04/09/1996
DEBUG:root:No matching PO found for invoice 20/07/2005
DEBUG:root:No matching PO found for invoice 09/12/1975
DEBUG:root:No matching PO found for invoice 29/03/1973
DEBUG:root:No matching PO found for invoice 01/08/2009
DEBUG:root:No matching PO found for invoice 30/03/2001
DEBUG:root:No matching PO found for invoice 10/11/1989
DEBUG:root:No matching PO found for invoice 17/03/1990
DEBUG:root:No matching PO found for invoice 26/02/1987
DEBUG:root:No matching PO found for invoice 31/01/1993
DEBUG:root:No matching PO found for invoice 28/02/1972
DEBUG:root:No matching PO found for invoice 02/09/1999
DEBUG:root:No matching PO found for invoice 21/11/1980
DEBUG:root:No matching PO found for invoice 27/06/2015
DEBUG:root:No matching PO found for invoice 01/11/1977
DEBUG:root:No matching PO found for invoice 21/10/1976
DEBUG:root:No matching PO found for invoice 01/08/1983
DEBUG:root:No matching PO found for invoice 22/03/1973
DEBUG:root:No matching PO found for invoice 03/01/1987
DEBUG:root:No matching PO found for invoice 07/01/2017
DEBUG:root:No matching PO found for invoice 26/07/2002
DEBUG:root:No matching PO found for invoice 23/08/2006
DEBUG:root:No matching PO found for invoice 31/07/2000
DEBUG:root:No matching PO found for invoice 31/03/2019
DEBUG:root:No matching PO found for invoice 09/01/1985
DEBUG:root:No matching PO found for invoice 08/11/1977
DEBUG:root:No matching PO found for invoice 26/05/1986
DEBUG:root:No matching PO found for invoice 24/01/2002
DEBUG:root:No matching PO found for invoice 22/02/2006
DEBUG:root:No matching PO found for invoice 21/03/1976
DEBUG:root:No matching PO found for invoice 09/03/1990
DEBUG:root:No matching PO found for invoice 29/11/1972
DEBUG:root:No matching PO found for invoice 10/12/1999
DEBUG:root:No matching PO found for invoice 15/12/2005
DEBUG:root:No matching PO found for invoice 22/11/2003
DEBUG:root:No matching PO found for invoice 07/07/1999
DEBUG:root:No matching PO found for invoice 03/10/2017
DEBUG:root:No matching PO found for invoice 03/05/1984
DEBUG:root:No matching PO found for invoice 14/03/1999
DEBUG:root:No matching PO found for invoice 22/08/1981
DEBUG:root:No matching PO found for invoice 09/11/1976
DEBUG:root:No matching PO found for invoice 17/09/2015
DEBUG:root:No matching PO found for invoice 16/06/1972
DEBUG:root:No matching PO found for invoice 26/03/1986
DEBUG:root:No matching PO found for invoice 05/12/2019
DEBUG:root:No matching PO found for invoice 06/06/2016
DEBUG:root:No matching PO found for invoice 19/07/1989
DEBUG:root:No matching PO found for invoice 04/07/1981
DEBUG:root:No matching PO found for invoice 25/10/1987
DEBUG:root:No matching PO found for invoice 08/08/1975
DEBUG:root:No matching PO found for invoice 12/08/1980
DEBUG:root:No matching PO found for invoice 16/05/1993
DEBUG:root:No matching PO found for invoice 10/02/1987
DEBUG:root:No matching PO found for invoice 23/08/1978
DEBUG:root:No matching PO found for invoice 29/06/2007
DEBUG:root:No matching PO found for invoice 12/08/2016
DEBUG:root:No matching PO found for invoice 26/01/1993
DEBUG:root:No matching PO found for invoice 27/11/2011
DEBUG:root:No matching PO found for invoice 22/10/1988
DEBUG:root:No matching PO found for invoice 13/01/1992
DEBUG:root:No matching PO found for invoice 25/10/1996
DEBUG:root:No matching PO found for invoice 24/06/2002
DEBUG:root:No matching PO found for invoice 20/07/1982
DEBUG:root:No matching PO found for invoice 12/10/2005
DEBUG:root:No matching PO found for invoice 30/03/1973
DEBUG:root:No matching PO found for invoice 20/04/1992
DEBUG:root:No matching PO found for invoice 02/11/2002
DEBUG:root:No matching PO found for invoice 07/05/1984
DEBUG:root:No matching PO found for invoice 05/07/1976
DEBUG:root:No matching PO found for invoice 03/10/1992
DEBUG:root:No matching PO found for invoice 04/01/1999
DEBUG:root:No matching PO found for invoice 09/11/1998
DEBUG:root:No matching PO found for invoice 08/05/2002
DEBUG:root:No matching PO found for invoice 10/03/1978
DEBUG:root:No matching PO found for invoice 25/01/2012
DEBUG:root:No matching PO found for invoice 08/06/1977
DEBUG:root:No matching PO found for invoice 29/06/2004
DEBUG:root:No matching PO found for invoice 23/03/1994
DEBUG:root:No matching PO found for invoice 20/10/2003
DEBUG:root:No matching PO found for invoice 26/07/2012
DEBUG:root:No matching PO found for invoice 21/05/1978
DEBUG:root:No matching PO found for invoice 28/03/1989
DEBUG:root:No matching PO found for invoice 18/02/1983
DEBUG:root:No matching PO found for invoice 29/06/2003
DEBUG:root:No matching PO found for invoice 07/02/1978
DEBUG:root:No matching PO found for invoice 23/08/2001
DEBUG:root:No matching PO found for invoice 08/02/1989
DEBUG:root:No matching PO found for invoice 23/01/2021
DEBUG:root:No matching PO found for invoice 02/10/2007
DEBUG:root:No matching PO found for invoice 17/03/1970
DEBUG:root:No matching PO found for invoice 24/10/1977
DEBUG:root:No matching PO found for invoice 05/01/1987
DEBUG:root:No matching PO found for invoice 28/05/1987
DEBUG:root:No matching PO found for invoice 02/11/1999
DEBUG:root:No matching PO found for invoice 21/10/1978
DEBUG:root:No matching PO found for invoice 07/03/2011
DEBUG:root:No matching PO found for invoice 05/10/2014
DEBUG:root:No matching PO found for invoice 29/10/1999
DEBUG:root:No matching PO found for invoice 14/06/2010
DEBUG:root:No matching PO found for invoice 03/05/1975
DEBUG:root:No matching PO found for invoice 07/11/1973
DEBUG:root:No matching PO found for invoice 11/06/1984
DEBUG:root:No matching PO found for invoice 24/09/1988
DEBUG:root:No matching PO found for invoice 18/01/1986
DEBUG:root:No matching PO found for invoice 22/04/1977
DEBUG:root:No matching PO found for invoice 29/10/1973
DEBUG:root:No matching PO found for invoice 11/08/2016
DEBUG:root:No matching PO found for invoice 22/01/2008
DEBUG:root:No matching PO found for invoice 27/08/1972
DEBUG:root:No matching PO found for invoice 04/01/1984
DEBUG:root:No matching PO found for invoice 25/10/1997
DEBUG:root:No matching PO found for invoice 09/06/1993
DEBUG:root:No matching PO found for invoice 18/07/2019
DEBUG:root:No matching PO found for invoice 18/01/2015
DEBUG:root:No matching PO found for invoice 28/11/2018
DEBUG:root:No matching PO found for invoice 14/04/2006
DEBUG:root:No matching PO found for invoice 15/06/2004
DEBUG:root:No matching PO found for invoice 09/04/1979
DEBUG:root:No matching PO found for invoice 29/12/1989
DEBUG:root:No matching PO found for invoice 05/03/2018
DEBUG:root:No matching PO found for invoice 25/04/1999
DEBUG:root:No matching PO found for invoice 19/06/1977
DEBUG:root:No matching PO found for invoice 12/07/1991
DEBUG:root:No matching PO found for invoice 15/04/2008
DEBUG:root:No matching PO found for invoice 30/09/1988
DEBUG:root:No matching PO found for invoice 20/05/1972
DEBUG:root:No matching PO found for invoice 11/11/1974
DEBUG:root:No matching PO found for invoice 16/08/1993
DEBUG:root:No matching PO found for invoice 21/04/1988
DEBUG:root:No matching PO found for invoice 10/02/1984
DEBUG:root:No matching PO found for invoice 16/06/1975
DEBUG:root:No matching PO found for invoice 17/01/1978
DEBUG:root:No matching PO found for invoice 05/12/2021
DEBUG:root:No matching PO found for invoice 27/05/2003
DEBUG:root:No matching PO found for invoice 30/01/1972
DEBUG:root:No matching PO found for invoice 06/04/1973
DEBUG:root:No matching PO found for invoice 22/04/1989
DEBUG:root:No matching PO found for invoice 19/08/1984
DEBUG:root:No matching PO found for invoice 07/05/2005
DEBUG:root:No matching PO found for invoice 19/07/1991
DEBUG:root:No matching PO found for invoice 18/05/1997
DEBUG:root:No matching PO found for invoice 17/10/2003
DEBUG:root:No matching PO found for invoice 04/10/2008
DEBUG:root:No matching PO found for invoice 14/12/2007
DEBUG:root:No matching PO found for invoice 04/05/2016
DEBUG:root:No matching PO found for invoice 07/10/2009
DEBUG:root:No matching PO found for invoice 29/01/1987
